,Country name,,Region,RH,Nov 2017 Development Stage,Expected January 2018 Status,2016 Baseline and 2018 Projections agreed,2016 total contributions to GCO,2016 total contributions to LN,2016 combined contributions total,Weak LN,Weigthed total,Model choice,Invoicing managed by,All invoicing timing options available for Local invoicing,Invoicing currency,2018 levels defined in local currency
,Argentina,Link,Americas,Javier,Advanced,Local Network,No,"$5,000 ",$0 ,"$5,000 ",,,Global Local,Global-Local,No,USD,No
,Australia,Link,Asia,Meng,Advanced,Local Network,No,"$129,630 ","$198,639 ","$328,269 ",,"$328,269 ",Revenue Sharing,Local Network,Yes,AUD,Yes
,Austria,Link,Europe,Ole,Advanced,Local Network,Yes,"$46,695 ","$21,774 ","$68,469 ",,,Revenue Sharing,GCO,Yes,USD,No
,Azerbaijan,Link,Europe,Alexandra,Active,Local Network,No,$0 ,$0 ,$0 ,,,Global Local,Global-Local,No,,
,Bangladesh,Link,Asia,Meng,Active,Local Network,Yes,"$10,950 ",$0 ,"$10,950 ",,,Global Local,Global-Local,Yes,USD,No
,Belarus,Link,Europe,Alexandra,Active,Local Network,No,$0 ,$0 ,$0 ,,,Global Local,Global-Local,No,BYN,No
,Belguim,Link,Europe,Ole,Advanced,Local Network,No,"$77,068 ",$0 ,"$77,068 ",,,Global Local,Global-Local,No,EUR,Yes
,Bolivia,Link,Americas,Javier,Active,Local Network,No,$0 ,$0 ,$0 ,,,Global Local,Global-Local,Yes,Local Network,No
,Brazil,Link,Americas,Javier,Advanced,Local Network,Yes,"$108,492 ","$458,718 ","$567,210 ",,"$567,210 ",Revenue Sharing,Local Network,No,USD,No
,Bulgaria,Link,Europe,Alexandra,Advanced,Local Network,No,"$1,672 ","$8,218 ","$9,890 ",,,Global Local,Global-Local,No,BGN,Yes
,Canada,Link,Americas,Ole,Advanced,Local Network,No,"$149,185 ","$132,000 ","$281,185 ",x,"$562,370 ",Revenue Sharing,Local Network,No,CAD,
,Chile,Link,Americas,Javier,Advanced,Local Network,No,"$2,475 ","$212,704 ","$215,179 ",x,"$430,358 ",Revenue Sharing,Local Network,No,CLP,No
,China,Link,Asia,Meng,Advanced,Local Network,Yes,"$241,382 ",$0 ,"$241,382 ",x,"$482,764 ",Global Local,Global-Local,Yes,AUD,Yes
,Colombia,Link,Americas,Javier,Advanced,Local Network,Yes,"$9,420 ","$198,757 ","$208,177 ",,"$208,177 ",Global Local,Global-Local,Yes,Colombian Pesos (COP),
,Costa Rica,Link,Americas,Javier,Active,Local Network,No,"$6,696 ",$0 ,"$6,696 ",,,Global Local,Global-Local,No,,
,Croatia,Link,Europe,Alexandra,Advanced,Local Network,No,"$5,000 ",$0 ,"$5,000 ",,,Global Local,Global-Local,No,HRK,
,Czechia,Link,Europe,Alexandra,Advanced,Local Network,No,$0 ,$0 ,$0 ,,,Global Local,Global-Local,No,,Yes
,Democratc Republic of Congo,Link,Africa,Nkiru,Active,Local Network,Yes,$482 ,$0 ,$482 ,,,Global Local,Global-Local,No,,Yes
,Denmark,Link,Europe,Ole,Emerging,Local Network,Yes,"$1,217,156 ","$42,000 ","$1,259,156 ",,"$1,259,156 ",Revenue Sharing,Local Network,No,DKK,Yes
,Ecuador,Link,Americas,Javier,Active,Local Network,Yes,$705 ,"$71,200 ","$71,905 ",,,Global Local,Global-Local,No,USD,No
,Egypt,Link,MENA,Alexandra,Advanced,Local Network,Yes,"$7,451 ",$0 ,"$7,451 ",,,Global Local,Global-Local,No,Egyptian pound,
,El Salvador,Link,Americas,Javier,Emerging,,No,$250 ,$0 ,$250 ,,,,,,,
,Finland,Link,Europe,Ole,Inactive,Inactive,No,"$157,525 ","$14,000 ","$171,525 ",x,"$343,050 ",Revenue Sharing,GCO,Yes,,
,France,Link,Europe,Ole,Advanced,Local Network,No,"$295,280 ","$781,466 ","$1,076,746 ",,"$1,076,746 ",Revenue Sharing,Local Network,No,EUR,
,Georgia,Link,Europe,Alexandra,Advanced,Local Network,No,"$2,000 ",$0 ,"$2,000 ",,,Global Local,Global-Local,No,GEL,
,Germany,Link,Europe,Ole,Advanced,Local Network,Yes,"$553,416 ",$0 ,"$553,416 ",,"$553,416 ",Revenue Sharing,GCO,Yes,USD,No
,Greece,Link,Europe,Alexandra,Active,Local Network,No,"$46,698 ",$0 ,"$46,698 ",,,Global Local,Global-Local,No,EUR,No
,Guatemala,Link,Americas,Javier,Active,Local Network,Yes,"$36,875 ","$31,225 ","$68,100 ",,,Global Local,Global-Local,No,USD,No
,India,Link,Asia,Meng,Advanced,Local Network,No,"$7,478 ",$0 ,"$7,478 ",,,Global Local,Global-Local,No,Indian Rupee,Yes
,Indonesia,Link,Asia,Meng,Advanced,Local Network,Yes,"$2,640 ","$48,170 ","$50,810 ",,,Global Local,Global-Local,No,Indonesian Rupiah,Yes
,Iraq,Link,MENA,Alexandra,Active,Local Network,No,$250 ,$0 ,$250 ,,,Global Local,Global-Local,No,,
,Italy,Link,Europe,Alexandra,Advanced,Local Network,No,"$104,642 ","$142,296 ","$246,938 ",x,"$493,876 ",Revenue Sharing,Local Network,No,EUR,Yes
,Japan,Link,Asia,Junko,Advanced,Local Network,No,"$176,642 ","$445,420 ","$622,062 ",,"$622,062 ",Revenue Sharing,Local Network,No,JPN,Yes
,Jordan,Link,MENA,Alexandra,Active,Local Network,Yes,"$11,907 ","$5,491 ","$17,398 ",,,Global Local,Global-Local,Yes,USD,No
,Kenya,Link,Africa,Nkiru,Advanced,Local Network,Yes,"$6,195 ",$0 ,"$6,195 ",,,Global Local,Global-Local,Yes,KSH,Yes
,Lebanon,Link,MENA,Alexandra,Advanced,Local Network,No,"$35,344 ","$25,300 ","$60,644 ",,,Global Local,Global-Local,Yes,USD,No
,"Macedonia, The FYR",Link,Europe,Alexandra,Advanced,Local Network,No,$250 ,$0 ,$250 ,,,Global Local,Global-Local,Yes,Macedonian denar,Yes
,Malaysia,Link,Asia,Meng,Active,,No,"$5,960 ",$0 ,"$5,960 ",,,Global Local,Global-Local,No,Malaysian Ringgit,Yes
,Mexico,Link,Americas,Javier,Advanced,Local Network,No,"$42,692 ","$141,082 ","$183,774 ",x,"$367,548 ",Not yet decided,,,,
,Mongolia,Link,Asia,Meng,Emerging,,Yes,$0 ,$0 ,$0 ,,,Revenue Sharing,Local Network,No,USD,No
,Morocco,Link,MENA,Alexandra,Emerging,,No,"$11,150 ",$0 ,"$11,150 ",,,Global Local,Global-Local,No,USD,No
,Nepal,Link,Asia,Meng,Emerging,,No,$350 ,$0 ,$350 ,,,Revenue Sharing,GCO,Yes,USD,No
,Netherlands,Link,Europe,Ole,Advanced,Local Network,No,"$184,590 ","$24,706 ","$209,296 ",x,"$418,591 ",Revenue Sharing,GCO,Yes,USD,No
,Nicaragua,Link,Americas,Javier,Active,Local Network,No,$250 ,$0 ,$250 ,,,Not yet decided,Not yet decided,,,
,Nigeria,Link,Africa,Nkiru,Advanced,Local Network,Yes,"$54,795 ",$0 ,"$54,795 ",,,Revenue Sharing,GCO,Yes,USD,
,Norway,Link,Europe,Ole,Inactive,Local Network,No,"$189,207 ",$0 ,"$189,207 ",x,"$378,413 ",Revenue Sharing,GCO,Yes,,No
,Pakistan,Link,Asia,Meng,Active,,No,"$9,971 ",$0 ,"$9,971 ",,,Revenue Sharing,GCO,Yes,USD,No
,Panama,Link,Americas,Javier,Advanced,Local Network,Yes,"$6,001 ","$170,250 ","$176,251 ",,"$176,251 ",Global Local,Global-Local,No,USD,No
,Paraguay,Link,Americas,Javier,Advanced,Local Network,No,"$3,250 ",$0 ,"$3,250 ",,,Global Local,Global-Local,No,,
,Peru,Link,Americas,Javier,Active,Local Network,No,"$15,100 ",$0 ,"$15,100 ",,,Revenue Sharing,GCO,Yes,USD,No
,Philippines,Link,Asia,Meng,Emerging,Local Network,No,"$1,465 ","$20,000 ","$21,465 ",,,Revenue Sharing,GCO,Yes,USD,No
,Poland,Link,Europe,Alexandra,Advanced,Local Network,No,"$2,542 ",$0 ,"$2,542 ",,,Global Local,Global-Local,No,,Yes
,Portugal,Link,Europe,Alexandra,Advanced,Local Network,No,"$53,611 ","$19,582 ","$73,193 ",,,Revenue Sharing,GCO,Yes,USD,No
,Republic of Korea,Link,Asia,Meng,Advanced,Local Network,No,"$15,750 ","$221,000 ","$236,750 ",,"$236,750 ",Not yet decided,Not yet decided,No,,
,Romania,Link,Europe,Alexandra,Advanced,Local Network,Yes,"$15,150 ","$59,360 ","$74,510 ",,,Revenue Sharing,GCO,Yes,USD,No
,Russia,Link,Europe,Alexandra,Advanced,Local Network,No,"$36,750 ",$0 ,"$36,750 ",,,Global Local,Global-Local,No,,
,Serbia,Link,Europe,Alexandra,Active,Local Network,Yes,$250 ,$0 ,$250 ,,,Global Local,Global-Local,Yes,RSD,Yes
,Singapore,Link,Asia,Meng,Active,Local Network,No,"$66,100 ","$131,150 ","$197,250 ",,"$197,250 ",Global Local,Global-Local,No,SGD,Yes
,Slovenia,Link,Europe,Alexandra,Active,Local Network,No,$0 ,"$3,520 ","$3,520 ",,,Global Local,Global-Local,No,EUR,
,South Africa,Link,Africa,Nkiru,Advanced,Local Network,Yes,"$73,959 ","$41,065 ","$115,024 ",x,"$230,048 ",Revenue Sharing,GCO,Yes,,
,Spain,Link,Europe,Ole,Advanced,Local Network,No,"$60,220 ","$560,851 ","$621,071 ",,"$621,071 ",Global Local,Global-Local,No,EUR,Yes
,Sri Lanka,Link,Asia,Meng,Advanced,,No,"$23,225 ",$0 ,"$23,225 ",,,Not yet decided,Not yet decided,No,,
,Sudan,Link,Africa,Nkiru,Active,Local Network,Yes,$0 ,$0 ,$0 ,,,Global Local,Global-Local,Yes,SGD,Yes
,Sweden,Link,Europe,Ole,Inactive,Local Network,No,"$467,014 ",$0 ,"$467,014 ",x,"$934,028 ",Revenue Sharing,GCO,Yes,USD,No
,Switzerland,Link,Europe,Ole,Advanced,Local Network,No,"$305,436 ","$98,000 ","$403,436 ",,"$403,436 ",Revenue Sharing,GCO,Yes,USD,No
,Tanzania,Link,Africa,Nkiru,Active,Local Network,Yes,$220 ,$0 ,$220 ,,,Global Local,Global-Local,Yes,TSH,Yes
,Thailand,Link,Asia,Meng,Active,Local Network,No,"$134,705 ",$0 ,"$134,705 ",x,"$269,410 ",Revenue Sharing,Local Network,No,USD,No
,Tunisia,Link,MENA,Alexandra,Active,Local Network,No,"$6,221 ","$9,750 ","$15,971 ",,,Global Local,Global-Local,No,,
,Turkey,Link,Europe,Alexandra,Advanced,Local Network,Yes,"$86,360 ","$60,183 ","$146,543 ",,"$146,543 ",Revenue Sharing,Local Network,No,USD,No
,UAE,Link,MENA,Alexandra,Advanced,Local Network,Yes,"$37,837 ",$0 ,"$37,837 ",,,Global Local,Global-Local,No,,
,Uganda,Link,Africa,Nkiru,Active,Local Network,Yes,"$3,222 ",$0 ,"$3,222 ",,,Global Local,Global-Local,Yes,UGX,Yes
,Ukraine,Link,Europe,Alexandra,Active,Local Network,No,"$1,550 ","$4,750 ","$6,300 ",,,Global Local,Global-Local,Yes,Ukrainian hryvnia,Yes
,United Kingdom,Link,Europe,Ole,Advanced,Local Network,Yes,"$417,289 ","$181,662 ","$598,951 ",,"$598,951 ",Revenue Sharing,Local Network,Yes,GBP,Yes
,United States,Link,Americas,Javier,Active,Local Network,No,"$786,175 ",$0 ,"$786,175 ",,"$786,175 ",Revenue Sharing,GCO,Yes,USD,No
,Uruguay,Link,Americas,Javier,Active,Local Network,No,"$1,480 ",$0 ,"$1,480 ",,,Not yet decided,Not yet decided,,,
,Viet Nam,Link,Asia,Meng,Active,Local Network,No,"$1,291 ",$0 ,"$1,291 ",,,Revenue Sharing,GCO,Yes,USD,No
