ID	TR02_TYPE	ORG_NAME	SECTOR_ID	ORG_NETWORK_BIT	ORG_PARTICIPANT_BIT	ORG_NB_EMPLOY	ORG_URL	ORG_BHR_URL	ORG_DATE_CREATE	ORG_DATE_MODIFICATION	ORG_DATE_JOINING	ORG_DATE_DELISTED	ORG_ACTIVE	ORG_ISGLOBAL500	TR01_COUNTRY_ID	ORG_STATUS_COP	ORG_COP_ALERT	ORG_UN_SPEC	ORG_PART_MAIL	ORG_30DAYS_TO_COP	ORG_90DAYS_TO_COP	ORG_TODAY_COPDUE	ORG_TODAY_INACT	ORG_30DAYS_TO_INACT	ORG_90DAYS_TO_INACT	ORG_MEMBER_ONEYEAR	ORG_LISTED_STATUS	ORG_LIST_CODE	ORG_LIST_EXCHANGE_CODE	ORG_PARENT_NAME	ORG_PARENT_LIST_CODE	TR11_REASON	ORG_LAST_MODIFIED_BY	ORG_JOIN_LETTER
4	SME	"""Plaske"" JSC"	6	FALSE	TRUE	100	http://www.plaske.ua		1/11/2008	1/15/2008	1/11/2008		TRUE	FALSE	UA	2			0	12/11/2009	10/12/2009	1/10/2010	1/10/2011	12/11/2010	10/12/2010	1/10/2009	0		ZXXZ			0		
9647	SME	'Mediapro' LTD	21	FALSE	TRUE	62	http://www.protv.md		6/22/2009	6/22/2009	6/22/2009		TRUE	FALSE	MD	2			1	5/23/2011	3/24/2011	6/22/2011	6/21/2012	5/22/2012	3/23/2012	6/22/2010	1		ZXXZ	All		0	87806823	pdf
9104	SME	'Moncord' Savings and Credit Union	13	FALSE	TRUE	20	http://www.moncord.mn		2/27/2009	2/27/2009	2/27/2009		TRUE	FALSE	MN	2			0	2/21/2010	12/23/2009	3/23/2010	3/23/2011	2/21/2011	12/23/2010	2/27/2010	1		ZXXZ	All		0	87806823	Pdf
7813	SME	'Tender' magazine	21	FALSE	TRUE	16	http://tenderbelarus.com		6/27/2008	4/29/2009	6/27/2008		TRUE	FALSE	BY	2			0	5/28/2010	3/29/2010	6/27/2010	6/27/2011	5/28/2011	3/29/2011	6/27/2009	0		ZXXZ	This feature was never implemented		0	87796823	pdf
7958	NGO Local	'World Wide Aid and Cooperation' Moldova	101	FALSE	TRUE	5	http://wwac.gr		7/17/2008	7/17/2008	7/17/2008		TRUE	FALSE	MD	2			0	6/17/2010	4/18/2010	7/17/2010	7/17/2011	6/17/2011	4/18/2011	7/17/2009	0		ZXXZ	All		0		pdf
9774	SME	.OPTIMIZA	11	FALSE	TRUE	12	http://www.optimiza.com		7/16/2009	7/16/2009	7/16/2009		TRUE	FALSE	ES	2			1	6/16/2011	4/17/2011	7/16/2011	7/15/2012	6/15/2012	4/16/2012	7/16/2010	1		ZXXZ	All		0	87806823	pdf
9476	SME	1 Brandgood Partners	11	FALSE	TRUE	35	http://www.1brandgood.com		5/14/2009	5/14/2009	5/14/2009		TRUE	FALSE	GB	2			1	4/14/2011	2/13/2011	5/14/2011	5/13/2012	4/13/2012	2/13/2012	5/14/2010	1		ZXXZ	All		0	87806823	pdf
5	SME	1 Tabelionato de Notas e Protestos de N. Hamburgo	32	FALSE	TRUE	10			10/26/2005	2/8/2007	6/27/2003	7/6/2008	FALSE	FALSE	BR	3			0	6/6/2006	4/7/2006	7/6/2006	7/6/2007	6/6/2007	4/7/2007	6/26/2004			ZXXZ			3		
9804	SME	1A Consultores S. Coop	11	FALSE	TRUE	10	http://www.1aconsultores.com		7/21/2009	7/21/2009	7/21/2009		TRUE	FALSE	ES	2			1	6/21/2011	4/22/2011	7/21/2011	7/20/2012	6/20/2012	4/21/2012	7/21/2010	0		ZXXZ	All		0	87806823	pdf
6	SME	"1A Ingenieros, S.L."	11	FALSE	TRUE	70	http://www.1aingenieros.com		1/11/2007	1/11/2007	1/11/2007		TRUE	FALSE	ES	1			0	12/11/2008	10/12/2008	1/10/2009	1/10/2010	12/11/2009	10/12/2009	1/11/2008			ZXXZ					
