ID	INITIATIVE_ID	ORG_ID	DATE_ADDED
1	2	52	6/11/2007
2	2	59	7/23/2007
3	2	4739	6/11/2007
4	2	4903	6/6/2007
5	2	4914	6/6/2007
6	2	5045	12/18/2007
7	2	5126	1/8/2008
8	2	5239	6/14/2007
9	2	5244	5/6/2007
10	2	5312	6/19/2007
11	2	5538	7/6/2007
12	2	5832	6/20/2007
13	2	5913	6/18/2007
14	2	5957	6/14/2007
15	2	6019	6/12/2007
16	2	6111	5/25/2007
17	2	6156	8/21/2007
18	2	6171	6/12/2007
19	2	6181	7/26/2007
20	2	6319	5/21/2007
21	2	6343	1/18/2008
22	2	6443	6/18/2007
23	2	6543	6/5/2007
24	2	6573	11/26/2007
25	2	6680	12/10/2007
26	2	6693	3/14/2008
148	2	6702	7/8/2008
28	2	6750	7/17/2007
29	2	6763	6/11/2007
30	2	6794	6/22/2007
31	2	6809	6/22/2007
32	2	6965	7/26/2007
33	2	6972	6/20/2007
34	2	7145	5/15/2007
35	2	7353	9/5/2007
36	2	7492	6/5/2007
37	2	7604	7/6/2007
38	2	4619	7/6/2007
39	2	5272	4/8/2008
40	2	1925	4/17/2008
41	2	2480	4/25/2008
42	2	5791	5/14/2008
43	2	4592	5/14/2008
44	2	216	5/14/2008
45	2	2183	5/14/2008
46	2	1701	5/14/2008
47	2	5636	5/16/2008
166	2	1070	6/5/2007
49	2	2600	5/22/2008
50	2	869	5/11/2008
51	2	822	5/23/2008
52	2	6185	5/25/2008
53	2	3383	5/29/2008
54	2	2796	6/13/2008
55	2	284	6/11/2008
56	2	736	6/10/2008
57	2	5599	6/9/2008
58	2	1440	6/9/2008
59	2	5167	6/16/2008
60	2	5958	6/12/2007
61	2	181	6/6/2007
62	2	4366	6/1/2007
63	2	4796	6/1/2007
64	2	6677	5/31/2007
65	2	4689	6/11/2007
66	2	6948	7/17/2007
67	2	1892	6/1/2007
68	2	2682	6/22/2007
69	2	6198	6/15/2007
70	2	7573	6/13/2007
71	2	6701	5/21/2007
72	2	7192	5/31/2007
73	2	7586	6/6/2007
74	2	3202	6/1/2007
75	2	563	6/17/2007
76	2	3211	6/1/2007
77	2	4613	6/2/2007
78	2	3832	6/9/2007
79	2	594	7/6/2007
152	2	2116	6/12/2007
81	2	6620	5/6/2008
82	2	6064	5/8/2008
83	2	4826	5/13/2008
84	2	3794	5/13/2008
85	2	6442	5/14/2008
86	2	5854	5/14/2008
87	2	5435	5/14/2008
88	2	841	5/14/2008
89	2	6468	5/14/2008
90	2	5522	5/14/2008
