"INTEREST_ID","CONTACT_ID","R01_ORG_NAME"
1,346,"Alliances - World Forum Social and Environmental Responsability"
1,484,"Aqua Packaging Limited"
1,536,"Article 13"
1,544,"Arval Service Lease SA"
1,717,"Banco di Sicilia"
1,973,"Broedrene Hartmann A/S"
1,1227,"CEMEX "
1,1569,"Confederacao das Associacoes Comerciais e Empresariais do Brazil - CACB"
1,1842,"Demax Plc"
1,1913,"DnB NOR ASA"
1,1984,"Eco-Frontier"
1,2350,"F&C Asset Management"
1,2434,"Ferrocarrils de La Generalitat de Catalunya"
1,2623,"Fundación Ineval"
1,2644,"Fundación Social"
1,2951,"Geotechmin  OOD"
1,3043,"Database Answers Ltd."
1,3186,"Grupo Interrupción"
1,3249,"Guardian's Co-operative Society Limited"
1,3402,"HSCC Hospital Services Consultancy Corp. Ltd."
1,3548,"INFITEX, Industrias de Fibras Textiles, S.A."
1,3618,"Instituto Horizonte"
1,3691,"I D Lanka Ltd."
1,3965,"Keolis S.A."
1,4093,"Lazare Kaplan International Inc."
1,4107,"Ledesma SAAI"
1,4108,"Ledesma SAAI"
1,4184,"Deutsche Lufthansa Aktiengesellschaft"
1,4271,"Martha Tilaar Group"
1,4369,"Metsaliitto Group"
1,4456,"M-real Corporation"
1,4505,"National Youth Council Benin (NYC - Benin)"
1,4519,"NEC Corporation"
1,4524,"Nedbank Ltd."
1,4839,"Pasell s.r.I."
1,4873,"People's Movement for Human Rights Education"
1,4929,"Pirelli & C. S.p.A."
1,4934,"PKA A/S"
1,4970,"Post Grade School of the Federico Villarreal National University"
1,5010,"PricewaterhouseCoopers France"
1,5408,"Schneider Electric Industries SAS"
1,5856,"Tata Power Company Ltd."
1,5966,"The Consortium for Purchasing and Distribution Ltd."
1,5967,"The Consortium for Purchasing and Distribution Ltd."
1,6204,"Trimtab Management Systems"
1,6227,"UAB Ekonomines Konsultacijos Ir Tyrimai"
1,16823,"A. Raymond"
1,396823,"Gas Natural Mexico"
1,1396823,"Monex Grupo Financiero, S.A. de C.V."
1,1436823,"Martha Tilaar Group"
1,3226823,"Indus Motor Company"
1,3256823,"Korea South-East Power Co."
1,3476823,"Oce N.V."
