"ROLE_ID","CONTACT_ID","R01_ORG_NAME"
1,1123,"Calvert Group Ltd."
1,1181,"Carroll School of Management, Boston College"
1,6481,"Universite de Lausanne"
1,9116823,"DePaul University"
1,9286823,"Georgetown University"
1,32296823,"Universite de Lausanne"
1,33256823,"Radon & Ishuzimi"
1,33916823,"DePaul University"
3,1,"1 Tabelionato de Notas e Protestos de N. Hamburgo"
3,3,"1st Global Property Management"
3,7,"360hub Norway"
3,8,"4C Strategies AB"
3,10,"4RF Communications Ltd"
3,11,"A&G Management Consulting"
3,14,"A. Raymond"
3,15,"A.C.A. Riegelsberger"
3,17,"A.I.D.I. - Associazione Industrie Dolciarie Italiane"
3,18,"A.I.NETT"
3,22,"A.T.W. Products"
3,25,"AAPSA - Associacao dos Administradores de Pessoal"
3,29,"AAST"
3,32,"AB Klaipedos Kartonas"
3,34,"Teo LT"
3,36,"AB Lifosa"
3,42,"AB Electrolux"
3,43,"AB Mazeikiu Nafta PCL"
3,45,"AB Volvo Group"
3,53,"Abar Group"
3,67,"ABB Ltd. - India"
3,69,"ABB S.A."
3,73,"Abena Group"
3,74,"Abengoa"
3,76,"Abertis Infraestructuras"
3,81,"ABRH-Nacional"
3,83,"ABS Advanced Business Systems"
3,84,"Abundant Sun Ltd"
3,85,"Academy of National Economy"
3,86,"Acciona"
3,94,"AccountAbility"
3,95,"ACDI Voca"
3,97,"ACE- Engenharia e Construcoes Ltda."
3,98,"ACE Security Laminates Corp."
3,101,"Acegas-Aps S.p.A"
3,102,"ACERAS - Acciones Eticas y Responsabilidad Social"
3,105,"Achilles Group Limited"
3,110,"ACI Ltd."
3,112,"Acindar Ind. Arg. de Aceros S.A."
3,114,"ACJ Environ Control Inc."
3,115,"Acome "
3,117,"Actel, S.C.L."
3,119,"Activa Assurances"
3,120,"ACSUR - Actividades y Cauces del Sur s.a.l"
3,122,"Actuaris"
3,123,"Acuaviva S.A.E.S.P."
3,125,"Acueducto Metropolitano de Bucaramanga"
3,127,"Acuity Investment Managment"
3,128,"Acumen Fund"
3,132,"ACWA Services"
3,135,"Ad Maiora SpA"
3,137,"Adanti S.p.A"
3,138,"ADD International Services, Inc."
3,139,"ADD+ Life Advertising"
3,140,"Address Bulgaria Group JSCo."
3,143,"Adecco Argentina S.A"
3,144,"Adecco Australia"
3,148,"Adecco Denmark"
3,151,"Adecco Germany"
3,153,"Adecco Human Resources AG, Switzerland"
3,155,"Adecco Italia"
3,157,"Adecco Japan"
3,159,"Adecco Luxembourg SA"
3,166,"Adecco Personnel Co Ltd"
3,170,"Adecco Recruitment Services Pty Ltd"
3,172,"Adecco Iberia"
3,174,"Adecco Szemelyzeti Kozvetito Kft."
3,175,"Adecco UK Ltd"
3,177,"Adecco USA"
3,179,"Adia"
3,181,"Ading Ad Skopje"
3,183,"Administradora de Recursos Empresarios S.R.L."
3,184,"Adnan Serbest Furniture and Design Co. Ltd."
3,186,"Adolfo Domínguez"
3,189,"Aeroports de Paris - ADP"
