"COUNTRY_ID","COP_ID"
"FR","BA616433-2501-470A-B1D7-BCC53D215ABB                        "
"ES","53786134-2526-4A44-A320-443A2FA58332                        "
"ES","94F8BBD5-B157-459E-940A-FB40803F6B35                        "
"FR","4BE121FE-51A1-4EB1-B3F9-F8F83A4C76F0                        "
"ES","7311A754-C0B0-473A-BD32-3D62016EE5D0                        "
"FR","A7884E7F-E22D-41B4-A2EF-2C8924EFF341                        "
"BR","F7DD6503-6ECC-47D8-A606-552D9ABE1BF4                        "
"ZZ","D71252C6-2583-4369-8F96-A6A41D040770                        "
"ZZ","250CB586-E198-47B2-BD5B-11F5902820BF                        "
"FR","3E0763ED-005A-4C6B-8E10-E139C1737AA5                        "
"IT","854F6064-D5C5-4436-90DC-DB2A2258F4AB                        "
"NE","854F6064-D5C5-4436-90DC-DB2A2258F4AB                        "
"SK","854F6064-D5C5-4436-90DC-DB2A2258F4AB                        "
"GB","854F6064-D5C5-4436-90DC-DB2A2258F4AB                        "
"PA","66FCA25F-F148-40A8-8EEA-4E44B2553630                        "
"ZZ","3F306981-66BC-4D66-9CEB-212B433CA0C1                        "
"BR","22A92766-3DFA-413C-AA66-ABB32C41A433                        "
"KR","B55EF197-8D76-4FB6-8FE2-F9CA45FB19BE                        "
"AZ","A1E3C7CD-18BF-4516-99CE-0824386FEC3D                        "
"JP","A1E3C7CD-18BF-4516-99CE-0824386FEC3D                        "
"NP","A1E3C7CD-18BF-4516-99CE-0824386FEC3D                        "
"ES","BBDC0072-6714-423B-8572-644CA3BA6681                        "
"ES","1015FC90-4645-431E-9659-07F0AF9FD500                        "
"ES","866BB866-CAF8-4DF0-8FDD-C5644D83E4EE                        "
"ES","447156C8-4EB4-429D-B5DB-66B02D22E3AA                        "
"ES","90F3C293-258B-47AE-99E2-60B98CD659B9                        "
"ES","E0207A6A-3E56-435E-AFDE-CFAA5D07E7AD                        "
"ES","2F271BD9-72E5-4177-82F8-DC1C95049A90                        "
"ES","AAAA050E-B47A-4AFA-97D2-70E5EF002FF0                        "
"IT","A3533246-C78A-4BFC-9A30-DC8CCB28E7A1                        "
"GB","E07ED389-8B6D-43B4-BE06-067D1FE93B1B                        "
"CN","FD4E3606-9B4C-45BF-9A20-72E08FC70F79                        "
"EC","4DB0B32F-298D-432E-8E19-10BF956F8DAE                        "
"PE","4DB0B32F-298D-432E-8E19-10BF956F8DAE                        "
"ES","4DB0B32F-298D-432E-8E19-10BF956F8DAE                        "
"ES","B0BE9884-1BE6-473C-A261-D95B1CAA7194                        "
"MK","E999A358-8610-4D08-968A-8318124F9E3C                        "
"CN","6BBE936C-7F3E-41B1-9CD3-1B77AB26F8F8                        "
"ID","6BBE936C-7F3E-41B1-9CD3-1B77AB26F8F8                        "
"LO","6BBE936C-7F3E-41B1-9CD3-1B77AB26F8F8                        "
"MV","6BBE936C-7F3E-41B1-9CD3-1B77AB26F8F8                        "
"SC","6BBE936C-7F3E-41B1-9CD3-1B77AB26F8F8                        "
"SG","6BBE936C-7F3E-41B1-9CD3-1B77AB26F8F8                        "
"LK","6BBE936C-7F3E-41B1-9CD3-1B77AB26F8F8                        "
"TH","6BBE936C-7F3E-41B1-9CD3-1B77AB26F8F8                        "
"PE","A75553FF-F315-4662-9528-C2BC719AC0DE                        "
"BR","C0E7D887-7522-4AF5-B6F6-69CDC39B0649                        "
"ES","6B007B20-6F95-4931-9AE8-E9D20F84A645                        "
"ES","EE3B2E8B-2506-4437-AC4F-976C08D2F54F                        "
"ES","0BC8C035-E855-4323-B165-0D1FAD8DED85                        "
"ES","80A971C3-D114-4B84-B646-465635471E32                        "
"PA","DA26B263-736A-4208-AF89-9C48558A2DD2                        "
"ES","A27B2769-3CCE-4823-BF46-6EF4DF078652                        "
"IT","6006CE4E-3B0D-4C0C-82C1-C988E9CC4EB3                        "
