"ID","INITIATIVE_ID","ORG_ID","CONTACT_ID"
515,2,216,101306823
2,2,181,41716823
517,2,736,101316823
519,2,7492,101366823
520,2,7492,101376823
521,2,6111,101386823
522,2,4392,101396823
1226,2,5243,4652
523,2,1088,101406823
10,2,561,83496823
525,2,1284,1152
526,2,1284,101426823
1227,2,5243,120466823
535,2,6965,6151
536,2,6965,95346823
537,2,6809,101516823
543,2,6185,101576823
544,2,6185,101556823
545,2,6185,101566823
546,2,6185,101586823
547,2,6156,101596823
548,2,6019,20436823
550,2,6610,248
24,2,2183,39776823
1228,2,5243,4653
552,2,1090,32326823
553,2,3710,52206823
558,2,5469,4867
562,2,780,3836823
563,2,780,656
31,2,2603,2241
564,2,36,27
566,2,552,53676823
567,2,552,75216823
568,2,2,37326823
570,2,7594,6793
571,2,1558,1359
572,2,1558,101616823
573,2,1558,101626823
574,2,2684,101636823
41,2,3411,3117
578,2,3581,101666823
579,2,3668,101676823
581,2,3819,50666823
582,2,4420,101696823
46,2,4366,3990
583,2,4914,101706823
587,2,5599,101746823
588,2,628,62126823
596,2,3435,91946823
597,2,3435,102756823
598,2,3435,3138
1235,2,10014,153006823
607,2,3532,4236823
608,1,5145,4535
633,2,292,17116823
634,2,292,15896823
618,2,3435,104746823
619,2,6111,104756823
60,2,5636,5016
61,2,5636,5017
620,2,4431,49996823
1236,2,10014,153016823
624,2,4914,104786823
625,2,5784,104916823
626,2,6620,104926823
627,2,6620,104936823
629,2,6155,104966823
631,2,6111,104986823
632,2,5522,104956823
636,2,4784,46956823
637,2,4784,4278
638,2,4495,4045
640,2,2684,2327
76,2,6693,95356823
1121,8,9345,135926823
645,2,6793,106196823
648,2,3782,3446
649,2,3782,3445
650,2,775,651
651,2,775,40416823
652,2,775,40406823
656,2,3411,108716823
657,2,1186,108726823
659,2,8244,107946823
661,2,4339,4736823
667,2,4339,4746823
669,2,4245,109716823
674,1,3566,93376823
114,2,6076,51796823
675,1,3566,3261
