LIST_EXCHANGE_CODE	LIST_EXCHANGE_NAME	LIST_SECONDARY_CODE	LIST_TERTIARY_CODE	TR01_COUNTRY_ID
ZXXZ				ZZ
BUE	Buenos Aires Stock Exchange		XBUE	AR
ASX	Australia Stock Exchange Ltd.	AX	XASX	AU
WBAG	Vienna Stock Exchange (Wiener Börse Ag)	VI	WBAH	AT
BSH	Bahrain Stock Exchange	BH	XBAH	BH
EBR	Nyse Euronext - Euronext Brussels	BR	XBRU	BE
BOL	Bolsa Boliviana De Valores S.A.		XBOL	BO
SAJ	Sarajevo Stock Exchange		XSSE	BA
BOT	Botswana Share Market	BT	XBOT	BW
SAO	Bolsa De Valores De São Paulo (Bovespa)	SA	XBSP	BR
BUL	Bulgarian Stock Exchange	BB	XBUL	BG
CVE	Tsx Venture Exchange (Toronto)	V	XTSX	CA
TSE	Toronto Stock Exchange	TO	XTSE	CA
NEX	Tsx Venture Exchange Nex (Vancouver)	V	XTNX	CA
SCL	Bolsa De Comercio De Santiago	SN	XBCL	CL
SHA	Shanghai Stock Exchange	SS	XSHG	CN
SHE	Shenzhen Stock Exchange	SZ	XSHE	CN
HKG	"Stock Exchange Of Hong Kong Ltd, The"	HK	XHKG	CN
TPE	Taiwan Stock Exchange	TW	XTAI	CN
CLB	Bolsa De Valores De Colombia		XBOG	CO
ZSE	"Zagreb Stock Exchange, The"	ZA	XZAG	HR
PRG	Prague Stock Exchange	PR	XPRA	CZ
CPH	Copenhagen Stock Exchange	CO	XCSE	DK
GUA	Guayaquil Stock Exchange		XGUA	EC
CAI	Cairo And Alexandria Stock Exchange	CA	XCAI	EG
TAL	Tallinn Stock Exchange	TL	XTAL	EE
VTX	Virt-X	VX	XVTX	ZZ
SPSE	South Pacific Stock Exchange	P	XSPS	FJ
HEL	The Helsinki Stock Exchange	HE	XHEL	FI
EPA	Nyse Euronext - Alternext Paris	PA	ALXB	FR
BER	Berlin Stock Exchange (Berliner Wertpapierboerse)	BE	XBER	DE
BRE	Bremen Stock Exchange (Bremer Wertpapierboerse)	BM	XBRE	DE
FRA	Deutsche Boerse Ag	F	XFRA	DE
DUS	Dusseldorf Stock Exchange (Rheinische - Westfaelische Boerse Zu Duesseldorf)	D	XDUS	DE
HAM	Hamburg Stock Exchange (Hanseatische Wertpapierboerse Hamburg)	H	XHAM	DE
HAN	Hanover Stock Exchange (Niedersaechsische Boerse Zu Hannover)	HA	XHAN	DE
MUC	Munich Stock Exchange (Bayerische Boerse)	MU	XMUN	DE
GHA	Ghana Stock Exchange	GH	XGHA	GH
ATH	Athens Stock Exchange	AT	XATH	GR
BDP	Budapest	BU	XBUD	HU
ICE	Iceland Stock Exchange	IC	XICE	IS
BOM	Mumbai Stock Exchange	BO	XBOM	IN
