ORG_NAME	BHRRC_URL
Águas do Amazonas (part of Suez)	A/guasdoAmazonaspartofSuez
A S Watson	A/ASWatson
A&A Global Industries	A/AAGlobalIndustries
A&G Group	A/AGGroup
A.P. Moller - Maersk	A/APMoller-Maersk
AA	A/AA
Aarhus United	A/AarhusUnited
Abayak	A/Abayak
ABB	A/ABB
Abbey National	A/AbbeyNational
Abbott Laboratories	A/AbbottLaboratories
ABC (part of Walt Disney)	A/ABCpartofWaltDisney
ABC (Spain)	A/ABCSpain
Abelle	A/Abelle
Abengoa	A/Abengoa
Aber Diamond	A/AberDiamond
Abercrombie & Fitch	A/AbercrombieFitch
Abercrombie & Kent	A/AbercrombieKent
Aberdeen Asset Management	A/AberdeenAssetManagement
ABIL (see African Bank Investments Limited)	A/ABILseeAfricanBankInvestmentsLimited
Abitibi	A/Abitibi
ABM	A/ABM
ABN Amro	A/ABNAmro
Aboitiz	A/Aboitiz
Aborganicos	A/Aborganicos
Absa	A/Absa
ACADIA Pharmaceuticals	A/ACADIAPharmaceuticals
ACC Capital Holdings	A/ACCCapitalHoldings
ACC Limited (Associated Cement Companies)	A/ACCLimitedAssociatedCementCompanies
Accenture	A/Accenture
Acciona	A/Acciona
Accor	A/Accor
Accuron	A/Accuron
ACE Group	A/ACEGroup
Acer	A/Acer
Aché Laboratórios Farmacêuticos	A/AchLaboratriosFarmacuticos
Acindar	A/Acindar
Ackermans	A/Ackermans
Acordis	A/Acordis
Acordis Acetate (part of Acordis)	A/AcordisAcetatepartofAcordis
Acres International	A/AcresInternational
ACSA (Airports Company South Africa)	A/ACSAAirportsCompanySouthAfrica
Actelion	A/Actelion
Actis	A/Actis
Adam's Mark	A/AdamsMark
Adastra Minerals	A/AdastraMinerals
Adcock Ingram (part of Tiger Brands)	A/AdcockIngrampartofTigerBrands
Addleshaw Goddard	A/AddleshawGoddard
Adecco	A/Adecco
Adelca (Acería del Ecuador)	A/AdelcaAceradelEcuador
ADI Limited (joint venture Transfield Holdings & Thales)	A/ADILimitedjointventureTransfieldHoldingsThales
Adia	A/Adia
adidas	A/adidas
Aditya Birla Group	A/AdityaBirlaGroup
ADM (see Archer Daniels Midland)	A/ADMseeArcherDanielsMidland
Adnams	A/Adnams
Adobe Systems	A/AdobeSystems
Adolfo Domínguez	A/AdolfoDomnguez
Adolph Coors (part of Molson Coors)	A/AdolphCoorspartofMolsonCoors
ADP (see Aéroports de Paris)	A/ADPseeAroportsdeParis
Advance Publications	A/AdvancePublications
Advanced Bio-Extracts	A/AdvancedBio-Extracts
Advanced Micro Devices	A/AdvancedMicroDevices
Advanta	A/Advanta
Adventures Abroad	A/AdventuresAbroad
Aegis (see Aegis Defence Services)	A/AegisseeAegisDefenceServices
Aegis Defence Services	A/AegisDefenceServices
Aegon	A/Aegon
AEON	A/AEON
Aero Contractors	A/AeroContractors
Aerocom	A/Aerocom
Aerodespachos Colombia (Aercol)	A/AerodespachosColombiaAercol
Aerolíneas Argentinas	A/AerolneasArgentinas
Aeroméxico	A/Aeromxico
Aéroports de Paris (ADP)	A/AroportsdeParisADP
Aerospatiale Matra (part of EADS)	A/AerospatialeMatrapartofEADS
Aerowisata (part of Garuda Indonesia)	A/AerowisatapartofGarudaIndonesia
AES	A/AES
Aetna	A/Aetna
AFC Enterprises	A/AFCEnterprises
AFLAC	A/AFLAC
AFP Integra (parte de ING)	A/AFPIntegrapartedeING
Africa Israel	A/AfricaIsrael
African Bank Investments Limited (ABIL)	A/AfricanBankInvestmentsLimitedABIL
African Chrysotile Asbestos (part of Msauli)	A/AfricanChrysotileAsbestospartofMsauli
African Diamonds	A/AfricanDiamonds
African Healthcare Solutions	A/AfricanHealthcareSolutions
African International Airways	A/AfricanInternationalAirways
African Rainbow Minerals	A/AfricanRainbowMinerals
Afrika Mashariki Gold Mine (part of Placer Dome)	A/AfrikaMasharikiGoldMinepartofPlacerDome
Afrimex	A/Afrimex
Ag-Mart Produce	A/Ag-MartProduce
Age (Australia) (part of John Fairfax Holdings)	A/AgeAustraliapartofJohnFairfaxHoldings
Agere Systems	A/AgereSystems
AGF - Assurances Générales de France (part of Allianz)	A/AGF-AssurancesGnralesdeFrancepartofAllianz
Agilent Technologies	A/AgilentTechnologies
AGIP (part of ENI)	A/AGIPpartofENI
Agrexco	A/Agrexco
Agroban	A/Agroban
Agrosuper	A/Agrosuper
Aguas Argentinas (now Aguas y Saneamientos Argentinos)	A/AguasArgentinasnowAguasySaneamientosArgentinos
Aguas Claras (parte de AquaChile)	A/AguasClaraspartedeAquaChile
Aguas de Antofagasta	A/AguasdeAntofagasta
Aguas del Illimani (part of Suez)	A/AguasdelIllimanipartofSuez
Aguas y Saneamientos Argentinos	A/AguasySaneamientosArgentinos
Ahold	A/Ahold
AIG	A/AIG
Aioi Insurance	A/AioiInsurance
Air Canada	A/AirCanada
Air Cess	A/AirCess
Air China	A/AirChina
Air France KLM	A/AirFranceKLM
Air Liquide	A/AirLiquide
Air New Zealand	A/AirNewZealand
Air Products	A/AirProducts
Air-India	A/Air-India
AirAsia	A/AirAsia
Airbus	A/Airbus
Aires de Campo	A/AiresdeCampo
Airports Company South Africa (see ACSA)	A/AirportsCompanySouthAfricaseeACSA
AirScan	A/AirScan
Aisin Seiki	A/AisinSeiki
Aitech Defense Systems	A/AitechDefenseSystems
AK Steel	A/AKSteel
Akbar Brothers	A/AkbarBrothers
Aker Kvaerner	A/AkerKvaerner
Akiba Commercial Bank	A/AkibaCommercialBank
Akrokeri-Ashanti Gold	A/Akrokeri-AshantiGold
Akron (see Mexicana de Lubricantes)	A/AkronseeMexicanadeLubricantes
Aktor	A/Aktor
